timestamp,cpu_usage,memory_usage,network_traffic,active_users,current_servers,required_servers
2026-07-04 14:00:00,47,52,255,154,3,2
2026-07-04 15:00:00,34,38,174,123,2,2
2026-07-04 16:00:00,39,44,197,132,2,2
2026-07-04 17:00:00,39,39,262,124,2,2
2026-07-04 18:00:00,32,39,174,103,2,2
2026-07-04 19:00:00,43,37,146,90,2,2
2026-07-04 20:00:00,36,26,37,29,2,2
2026-07-04 21:00:00,36,36,160,80,2,2
2026-07-04 22:00:00,36,21,143,59,2,2
2026-07-04 23:00:00,45,41,116,72,2,2
2026-07-05 00:00:00,34,44,238,135,2,2
2026-07-05 01:00:00,46,44,250,145,2,2
2026-07-05 02:00:00,43,36,238,146,2,2
2026-07-05 03:00:00,30,52,195,125,2,2
2026-07-05 04:00:00,37,40,161,109,2,2
2026-07-05 05:00:00,38,43,156,105,2,2
2026-07-05 06:00:00,38,44,192,109,2,2
2026-07-05 07:00:00,34,32,109,60,2,2
2026-07-05 08:00:00,17,31,103,63,2,2
2026-07-05 09:00:00,16,36,83,55,2,2
2026-07-05 10:00:00,34,52,229,121,2,2
2026-07-05 11:00:00,38,34,159,74,2,2
2026-07-05 12:00:00,27,40,170,127,2,2
2026-07-05 13:00:00,46,53,246,161,3,3
2026-07-05 14:00:00,49,53,305,176,3,3
2026-07-05 15:00:00,46,52,224,162,3,3
2026-07-05 16:00:00,48,48,214,155,2,2
2026-07-05 17:00:00,39,34,118,102,2,2
2026-07-05 18:00:00,53,37,190,112,2,3
2026-07-05 19:00:00,19,30,130,64,2,1
2026-07-05 20:00:00,33,29,98,66,2,2
2026-07-05 21:00:00,58,34,121,68,3,3
2026-07-05 22:00:00,26,36,165,75,3,2
2026-07-05 23:00:00,32,39,124,71,3,2
2026-07-06 00:00:00,43,58,246,181,3,3
2026-07-06 01:00:00,58,63,253,216,3,3
2026-07-06 02:00:00,71,67,367,253,4,4
2026-07-06 03:00:00,56,64,377,226,3,3
2026-07-06 04:00:00,59,53,287,215,3,3
2026-07-06 05:00:00,57,61,273,197,3,3
2026-07-06 06:00:00,33,42,195,133,2,2
2026-07-06 07:00:00,47,44,245,124,2,2
2026-07-06 08:00:00,22,36,176,88,2,2
2026-07-06 09:00:00,15,38,137,96,2,2
2026-07-06 10:00:00,76,47,263,174,2,4
2026-07-06 11:00:00,58,48,236,165,3,3
2026-07-06 12:00:00,52,51,269,206,3,3
2026-07-06 13:00:00,53,61,364,248,3,4
2026-07-06 14:00:00,76,72,352,257,4,4
2026-07-06 15:00:00,69,64,354,238,4,3
2026-07-06 16:00:00,46,56,335,219,3,3
2026-07-06 17:00:00,42,49,257,164,3,3
2026-07-06 18:00:00,47,45,212,154,2,2
2026-07-06 19:00:00,21,34,193,96,2,2
2026-07-06 20:00:00,37,45,238,133,2,2
2026-07-06 21:00:00,31,35,269,125,2,2
2026-07-06 22:00:00,47,46,237,161,2,3
2026-07-06 23:00:00,54,56,247,162,2,3
2026-07-07 00:00:00,64,54,283,208,2,3
2026-07-07 01:00:00,71,75,387,278,3,4
2026-07-07 02:00:00,73,70,381,275,4,4
2026-07-07 03:00:00,50,66,326,214,3,3
2026-07-07 04:00:00,65,60,329,217,3,3
2026-07-07 05:00:00,48,60,261,190,3,3
2026-07-07 06:00:00,42,48,206,151,2,2
2026-07-07 07:00:00,39,51,111,109,2,2
2026-07-07 08:00:00,46,43,155,113,2,2
2026-07-07 09:00:00,32,42,191,94,2,2
2026-07-07 10:00:00,53,41,216,139,3,3
2026-07-07 11:00:00,28,47,234,173,3,3
2026-07-07 12:00:00,61,70,282,198,3,3
2026-07-07 13:00:00,71,53,307,235,3,3
2026-07-07 14:00:00,63,65,382,252,4,4
2026-07-07 15:00:00,67,63,355,243,4,4
2026-07-07 16:00:00,51,55,266,186,3,3
2026-07-07 17:00:00,42,46,232,180,3,3
2026-07-07 18:00:00,41,45,242,162,3,3
2026-07-07 19:00:00,30,40,224,105,3,2
2026-07-07 20:00:00,47,44,216,110,2,2
2026-07-07 21:00:00,49,42,208,130,2,2
2026-07-07 22:00:00,59,43,176,118,3,3
2026-07-07 23:00:00,48,54,276,172,3,3
2026-07-08 00:00:00,51,65,335,211,3,3
2026-07-08 01:00:00,49,66,378,253,4,4
2026-07-08 02:00:00,48,60,346,218,3,3
2026-07-08 03:00:00,73,72,354,258,4,4
2026-07-08 04:00:00,35,59,280,196,4,3
2026-07-08 05:00:00,45,48,220,174,4,3
2026-07-08 06:00:00,36,35,202,133,4,2
2026-07-08 07:00:00,44,43,182,116,4,2
2026-07-08 08:00:00,29,32,172,85,3,2
2026-07-08 09:00:00,38,45,191,114,2,2
2026-07-08 10:00:00,36,47,199,135,2,2
2026-07-08 11:00:00,47,53,264,168,3,3
2026-07-08 12:00:00,58,58,342,193,3,3
2026-07-08 13:00:00,49,75,322,241,4,4
2026-07-08 14:00:00,51,56,308,216,3,3
2026-07-08 15:00:00,62,60,325,247,4,4
2026-07-08 16:00:00,52,59,331,213,3,3
2026-07-08 17:00:00,57,57,265,177,3,3
2026-07-08 18:00:00,56,42,204,139,3,3
2026-07-08 19:00:00,27,34,188,103,2,2
2026-07-08 20:00:00,62,42,184,115,3,3
2026-07-08 21:00:00,41,36,151,97,2,2
2026-07-08 22:00:00,40,40,179,122,2,2
2026-07-08 23:00:00,47,45,248,174,3,3
2026-07-09 00:00:00,65,63,303,224,3,3
2026-07-09 01:00:00,76,73,314,236,4,4
2026-07-09 02:00:00,70,58,346,224,3,3
2026-07-09 03:00:00,83,55,272,231,3,4
2026-07-09 04:00:00,54,65,345,219,3,3
2026-07-09 05:00:00,40,60,228,171,3,3
2026-07-09 06:00:00,32,45,181,114,2,2
2026-07-09 07:00:00,52,40,211,99,3,3
2026-07-09 08:00:00,29,44,184,137,3,2
2026-07-09 09:00:00,35,41,168,104,2,2
2026-07-09 10:00:00,59,42,252,162,3,3
2026-07-09 11:00:00,43,45,316,181,3,3
2026-07-09 12:00:00,60,70,357,241,4,4
2026-07-09 13:00:00,72,67,332,254,4,4
2026-07-09 14:00:00,61,71,332,249,4,4
2026-07-09 15:00:00,66,64,382,255,4,4
2026-07-09 16:00:00,51,61,308,221,3,3
2026-07-09 17:00:00,57,44,285,178,3,3
2026-07-09 18:00:00,50,59,232,156,3,2
2026-07-09 19:00:00,52,43,219,142,3,3
2026-07-09 20:00:00,24,46,192,96,3,2
2026-07-09 21:00:00,40,54,218,145,2,2
2026-07-09 22:00:00,76,53,221,134,3,4
2026-07-09 23:00:00,50,49,265,175,3,3
2026-07-10 00:00:00,59,59,362,228,3,3
2026-07-10 01:00:00,47,52,365,221,3,3
2026-07-10 02:00:00,78,64,369,248,4,4
2026-07-10 03:00:00,52,68,317,249,4,4
2026-07-10 04:00:00,67,65,336,233,3,3
2026-07-10 05:00:00,42,52,241,166,3,3
2026-07-10 06:00:00,36,44,113,112,2,2
2026-07-10 07:00:00,26,45,200,127,2,2
2026-07-10 08:00:00,27,38,193,112,2,2
2026-07-10 09:00:00,40,29,187,109,2,2
2026-07-10 10:00:00,51,51,230,133,3,3
2026-07-10 11:00:00,65,53,198,169,3,3
2026-07-10 12:00:00,67,61,344,223,3,3
2026-07-10 13:00:00,61,60,317,232,3,3
2026-07-10 14:00:00,61,67,330,252,4,4
2026-07-10 15:00:00,73,53,333,226,3,3
2026-07-10 16:00:00,53,49,278,180,3,3
2026-07-10 17:00:00,45,57,239,183,3,3
2026-07-10 18:00:00,59,49,220,136,3,3
2026-07-10 19:00:00,36,44,203,103,2,2
2026-07-10 20:00:00,27,36,188,109,2,2
2026-07-10 21:00:00,37,50,211,125,2,2
2026-07-10 22:00:00,49,49,223,133,2,2
2026-07-10 23:00:00,57,53,275,185,3,3
2026-07-11 00:00:00,39,36,157,124,2,2
2026-07-11 01:00:00,53,40,172,130,2,3
2026-07-11 02:00:00,57,40,241,174,3,3
2026-07-11 03:00:00,52,39,181,144,3,3
2026-07-11 04:00:00,62,49,234,142,3,3
2026-07-11 05:00:00,38,34,164,101,2,2
2026-07-11 06:00:00,25,35,102,57,2,2
2026-07-11 07:00:00,25,21,117,37,2,1
2026-07-11 08:00:00,22,23,117,45,1,1
2026-07-11 09:00:00,35,29,172,93,2,2
2026-07-11 10:00:00,35,32,149,82,2,2
2026-07-11 11:00:00,38,40,185,112,2,2
2026-07-11 12:00:00,32,47,181,116,2,2
2026-07-11 13:00:00,48,41,239,139,2,2
2026-07-11 14:00:00,53,47,204,145,3,3
2026-07-11 15:00:00,40,55,272,177,3,3
2026-07-11 16:00:00,67,39,182,124,3,3
2026-07-11 17:00:00,38,38,113,85,2,2
2026-07-11 18:00:00,44,38,124,73,2,2
2026-07-11 19:00:00,31,23,120,41,2,2
2026-07-11 20:00:00,43,26,110,76,2,2
2026-07-11 21:00:00,41,26,115,50,2,2
2026-07-11 22:00:00,33,25,142,62,2,2
2026-07-11 23:00:00,30,27,117,84,2,2
2026-07-12 00:00:00,41,39,206,127,2,2
2026-07-12 01:00:00,47,44,194,145,2,2
2026-07-12 02:00:00,72,50,261,168,3,3
2026-07-12 03:00:00,38,40,225,130,2,2
2026-07-12 04:00:00,40,43,198,117,2,2
2026-07-12 05:00:00,56,36,149,107,3,3
2026-07-12 06:00:00,17,37,121,59,3,2
2026-07-12 07:00:00,27,34,118,68,2,2
2026-07-12 08:00:00,47,23,152,85,2,2
2026-07-12 09:00:00,40,46,174,98,2,2
2026-07-12 10:00:00,26,31,128,77,2,2
2026-07-12 11:00:00,40,35,242,106,2,2
2026-07-12 12:00:00,30,47,216,141,2,2
2026-07-12 13:00:00,53,52,146,151,3,3
2026-07-12 14:00:00,44,48,203,148,3,2
2026-07-12 15:00:00,67,55,265,154,3,3
2026-07-12 16:00:00,51,39,188,124,3,3
2026-07-12 17:00:00,29,36,173,99,2,2
2026-07-12 18:00:00,31,27,173,84,2,2
2026-07-12 19:00:00,47,26,131,73,2,2
2026-07-12 20:00:00,8,32,119,42,2,2
2026-07-12 21:00:00,26,29,137,65,2,2
2026-07-12 22:00:00,44,25,134,60,2,2
2026-07-12 23:00:00,25,26,150,84,2,2
2026-07-13 00:00:00,60,59,327,206,2,3
2026-07-13 01:00:00,70,65,336,235,3,3
2026-07-13 02:00:00,64,69,367,254,3,4
2026-07-13 03:00:00,54,59,287,203,3,3
2026-07-13 04:00:00,59,61,328,227,3,3
2026-07-13 05:00:00,62,41,277,186,3,3
2026-07-13 06:00:00,43,40,174,141,2,2
2026-07-13 07:00:00,42,39,199,128,2,2
2026-07-13 08:00:00,38,36,164,114,2,2
2026-07-13 09:00:00,39,42,172,124,2,2
2026-07-13 10:00:00,34,56,223,136,2,2
2026-07-13 11:00:00,43,56,210,178,2,3
2026-07-13 12:00:00,51,56,296,195,2,3
2026-07-13 13:00:00,61,57,360,235,3,3
2026-07-13 14:00:00,68,58,357,244,4,4
2026-07-13 15:00:00,60,65,294,220,3,3
2026-07-13 16:00:00,44,61,292,216,3,3
2026-07-13 17:00:00,46,56,226,157,2,2
2026-07-13 18:00:00,55,51,231,147,3,3
2026-07-13 19:00:00,31,39,179,92,2,2
2026-07-13 20:00:00,38,38,183,94,2,2
2026-07-13 21:00:00,33,50,224,126,2,2
2026-07-13 22:00:00,26,48,232,147,2,2
2026-07-13 23:00:00,58,57,286,187,3,3
2026-07-14 00:00:00,31,67,276,215,3,3
2026-07-14 01:00:00,66,60,314,229,3,3
2026-07-14 02:00:00,47,70,325,228,3,3
2026-07-14 03:00:00,59,63,316,236,3,3
2026-07-14 04:00:00,91,59,333,236,4,4
2026-07-14 05:00:00,45,56,273,172,3,3
2026-07-14 06:00:00,40,33,117,95,2,2
2026-07-14 07:00:00,35,40,194,108,2,2
2026-07-14 08:00:00,31,42,178,127,2,2
2026-07-14 09:00:00,44,32,183,104,2,2
2026-07-14 10:00:00,43,49,231,116,2,2
2026-07-14 11:00:00,52,50,234,181,3,3
2026-07-14 12:00:00,30,55,287,191,3,3
2026-07-14 13:00:00,62,63,332,232,3,3
2026-07-14 14:00:00,60,64,361,243,4,4
2026-07-14 15:00:00,52,60,326,225,3,3
2026-07-14 16:00:00,58,62,320,229,3,3
2026-07-14 17:00:00,46,45,233,176,3,3
2026-07-14 18:00:00,42,46,253,134,2,2
2026-07-14 19:00:00,37,42,261,127,2,2
2026-07-14 20:00:00,37,37,151,87,2,2
2026-07-14 21:00:00,33,39,167,97,2,2
2026-07-14 22:00:00,29,45,241,130,2,2
2026-07-14 23:00:00,50,42,229,154,2,2
2026-07-15 00:00:00,59,55,311,195,3,3
2026-07-15 01:00:00,68,60,302,227,3,3
2026-07-15 02:00:00,58,67,318,218,3,3
2026-07-15 03:00:00,57,72,353,245,4,4
2026-07-15 04:00:00,78,57,313,239,4,4
2026-07-15 05:00:00,49,44,255,193,3,3
2026-07-15 06:00:00,34,51,194,135,3,2
2026-07-15 07:00:00,25,23,190,95,2,2
2026-07-15 08:00:00,32,38,140,81,2,2
2026-07-15 09:00:00,26,39,173,110,2,2
2026-07-15 10:00:00,49,43,257,149,2,2
2026-07-15 11:00:00,52,47,288,174,3,3
2026-07-15 12:00:00,57,53,302,199,3,3
2026-07-15 13:00:00,63,67,336,244,4,4
2026-07-15 14:00:00,62,67,373,254,4,4
2026-07-15 15:00:00,52,61,343,223,4,3
2026-07-15 16:00:00,53,54,337,205,4,3
2026-07-15 17:00:00,53,46,313,178,3,3
2026-07-15 18:00:00,51,47,259,161,3,3
2026-07-15 19:00:00,59,40,169,105,3,3
2026-07-15 20:00:00,32,46,204,108,2,2
2026-07-15 21:00:00,32,37,151,81,2,2
2026-07-15 22:00:00,47,39,241,142,2,2
2026-07-15 23:00:00,56,52,240,179,2,3
2026-07-16 00:00:00,59,63,323,229,3,3
2026-07-16 01:00:00,76,65,316,237,4,4
2026-07-16 02:00:00,71,73,415,262,4,4
2026-07-16 03:00:00,82,58,341,248,4,4
2026-07-16 04:00:00,56,57,311,186,3,3
2026-07-16 05:00:00,55,57,255,169,3,3
2026-07-16 06:00:00,27,45,239,129,2,2
2026-07-16 07:00:00,39,45,157,91,2,2
2026-07-16 08:00:00,33,31,157,92,2,2
2026-07-16 09:00:00,30,37,179,95,2,2
2026-07-16 10:00:00,53,44,212,146,2,3
2026-07-16 11:00:00,39,54,237,161,2,3
2026-07-16 12:00:00,61,48,280,224,2,3
2026-07-16 13:00:00,65,63,313,274,3,4
2026-07-16 14:00:00,86,65,386,264,3,4
2026-07-16 15:00:00,44,54,291,204,3,3
2026-07-16 16:00:00,55,61,352,224,3,3
2026-07-16 17:00:00,83,52,247,177,4,4
2026-07-16 18:00:00,41,43,261,159,3,2
2026-07-16 19:00:00,41,40,173,92,3,2
2026-07-16 20:00:00,27,37,191,112,2,2
2026-07-16 21:00:00,57,34,179,127,3,3
2026-07-16 22:00:00,52,47,212,129,3,3
2026-07-16 23:00:00,70,54,233,175,3,3
2026-07-17 00:00:00,71,61,355,215,3,3
2026-07-17 01:00:00,59,60,285,227,3,3
2026-07-17 02:00:00,65,68,347,265,4,4
2026-07-17 03:00:00,72,59,287,243,4,4
2026-07-17 04:00:00,65,61,328,234,4,3
2026-07-17 05:00:00,32,55,243,183,3,3
2026-07-17 06:00:00,45,51,199,135,2,2
2026-07-17 07:00:00,36,43,169,97,2,2
2026-07-17 08:00:00,55,36,198,122,3,3
2026-07-17 09:00:00,35,30,143,108,3,2
2026-07-17 10:00:00,36,42,197,124,3,2
2026-07-17 11:00:00,33,48,233,153,2,2
2026-07-17 12:00:00,55,56,298,199,3,3
2026-07-17 13:00:00,59,58,339,220,3,3
2026-07-17 14:00:00,73,77,361,258,4,4
2026-07-17 15:00:00,60,67,319,249,4,4
2026-07-17 16:00:00,60,52,321,204,4,3
2026-07-17 17:00:00,47,51,289,190,3,3
2026-07-17 18:00:00,49,47,197,144,3,2
2026-07-17 19:00:00,40,32,152,84,2,2
2026-07-17 20:00:00,69,36,133,94,2,3
2026-07-17 21:00:00,39,31,212,109,2,2
2026-07-17 22:00:00,34,43,137,123,2,2
2026-07-17 23:00:00,55,59,315,215,2,3
2026-07-18 00:00:00,47,50,206,135,2,2
2026-07-18 01:00:00,51,49,224,141,3,3
2026-07-18 02:00:00,41,52,256,149,3,2
2026-07-18 03:00:00,36,41,235,137,2,2
2026-07-18 04:00:00,47,48,237,141,2,2
2026-07-18 05:00:00,32,46,200,111,2,2
2026-07-18 06:00:00,40,31,153,87,2,2
2026-07-18 07:00:00,10,23,91,41,1,1
2026-07-18 08:00:00,22,32,87,31,2,2
2026-07-18 09:00:00,28,23,106,63,2,2
2026-07-18 10:00:00,21,32,151,70,2,2
2026-07-18 11:00:00,40,41,139,100,2,2
2026-07-18 12:00:00,42,39,211,128,2,2
2026-07-18 13:00:00,51,55,253,144,2,3
2026-07-18 14:00:00,41,52,247,153,2,2
2026-07-18 15:00:00,55,48,213,147,3,3
2026-07-18 16:00:00,26,44,178,127,2,2
2026-07-18 17:00:00,34,35,167,95,2,2
2026-07-18 18:00:00,26,35,143,94,2,2
2026-07-18 19:00:00,26,35,146,76,2,2
2026-07-18 20:00:00,28,32,185,72,2,2
2026-07-18 21:00:00,22,41,187,89,2,2
2026-07-18 22:00:00,33,36,142,83,2,2
2026-07-18 23:00:00,35,37,182,98,2,2
2026-07-19 00:00:00,17,32,140,105,2,2
2026-07-19 01:00:00,44,52,215,162,3,3
2026-07-19 02:00:00,47,55,288,165,3,3
2026-07-19 03:00:00,38,39,236,132,2,2
2026-07-19 04:00:00,49,40,177,109,2,2
2026-07-19 05:00:00,21,36,134,91,2,2
2026-07-19 06:00:00,48,37,163,93,2,2
2026-07-19 07:00:00,27,36,149,75,2,2
2026-07-19 08:00:00,22,22,111,58,1,1
2026-07-19 09:00:00,24,27,124,59,1,1
2026-07-19 10:00:00,15,21,102,59,1,1
2026-07-19 11:00:00,33,47,245,123,2,2
2026-07-19 12:00:00,52,50,255,155,2,3
2026-07-19 13:00:00,48,45,227,162,3,3
2026-07-19 14:00:00,46,44,233,154,2,2
2026-07-19 15:00:00,60,49,197,156,3,3
2026-07-19 16:00:00,54,43,240,146,3,3
2026-07-19 17:00:00,49,38,210,116,2,2
2026-07-19 18:00:00,34,43,178,96,2,2
2026-07-19 19:00:00,30,28,127,63,2,2
2026-07-19 20:00:00,39,26,140,76,2,2
2026-07-19 21:00:00,23,28,158,64,2,1
2026-07-19 22:00:00,34,30,165,92,2,2
2026-07-19 23:00:00,30,50,215,139,2,2
2026-07-20 00:00:00,58,44,303,199,2,3
2026-07-20 01:00:00,63,48,322,228,3,3
2026-07-20 02:00:00,69,69,347,250,3,4
2026-07-20 03:00:00,76,65,313,232,3,4
2026-07-20 04:00:00,61,55,316,212,3,3
2026-07-20 05:00:00,53,63,321,202,3,3
2026-07-20 06:00:00,33,44,217,140,3,2
2026-07-20 07:00:00,38,39,177,91,2,2
2026-07-20 08:00:00,44,55,129,97,2,2
2026-07-20 09:00:00,41,37,211,143,2,2
2026-07-20 10:00:00,30,44,255,156,2,2
2026-07-20 11:00:00,52,51,282,158,2,3
2026-07-20 12:00:00,45,52,244,185,3,3
2026-07-20 13:00:00,62,68,387,261,4,4
2026-07-20 14:00:00,56,61,340,240,3,3
2026-07-20 15:00:00,69,59,338,219,3,3
2026-07-20 16:00:00,65,42,323,202,3,3
2026-07-20 17:00:00,54,63,277,172,3,3
2026-07-20 18:00:00,37,41,196,134,2,2
2026-07-20 19:00:00,35,45,158,109,2,2
2026-07-20 20:00:00,46,39,155,83,2,2
2026-07-20 21:00:00,41,36,150,101,2,2
2026-07-20 22:00:00,38,45,201,148,2,2
2026-07-20 23:00:00,66,58,321,197,3,3
2026-07-21 00:00:00,47,65,336,222,3,3
2026-07-21 01:00:00,55,67,333,240,3,3
2026-07-21 02:00:00,73,71,357,258,4,4
2026-07-21 03:00:00,73,71,341,256,4,4
2026-07-21 04:00:00,46,62,318,204,3,3
2026-07-21 05:00:00,52,48,261,184,3,3
2026-07-21 06:00:00,51,46,237,147,3,3
2026-07-21 07:00:00,31,44,196,121,3,2
2026-07-21 08:00:00,29,37,176,100,3,2
2026-07-21 09:00:00,48,38,164,113,2,2
2026-07-21 10:00:00,41,43,245,147,2,2
2026-07-21 11:00:00,68,53,282,191,2,3
2026-07-21 12:00:00,55,60,234,185,2,3
2026-07-21 13:00:00,59,64,316,258,2,4
2026-07-21 14:00:00,71,65,325,233,3,3
2026-07-21 15:00:00,76,65,328,260,4,4
2026-07-21 16:00:00,58,55,255,206,4,3
2026-07-21 17:00:00,46,47,212,155,3,2
2026-07-21 18:00:00,53,41,188,150,3,3
2026-07-21 19:00:00,29,33,141,97,2,2
2026-07-21 20:00:00,36,38,178,103,2,2
2026-07-21 21:00:00,31,34,206,113,2,2
2026-07-21 22:00:00,35,39,251,149,2,2
2026-07-21 23:00:00,39,56,279,184,3,3
2026-07-22 00:00:00,47,55,353,218,3,3
2026-07-22 01:00:00,60,66,336,240,3,3
2026-07-22 02:00:00,65,64,365,266,4,4
2026-07-22 03:00:00,65,62,302,244,4,4
2026-07-22 04:00:00,73,67,311,238,3,3
2026-07-22 05:00:00,84,48,219,180,4,4
2026-07-22 06:00:00,33,39,194,144,3,2
2026-07-22 07:00:00,43,43,158,105,3,2
2026-07-22 08:00:00,15,37,211,104,3,2
2026-07-22 09:00:00,34,39,226,119,2,2
2026-07-22 10:00:00,50,62,219,142,2,3
2026-07-22 11:00:00,47,60,266,180,3,3
2026-07-22 12:00:00,57,51,220,193,3,3
2026-07-22 13:00:00,80,63,342,254,4,4
2026-07-22 14:00:00,58,70,383,258,4,4
2026-07-22 15:00:00,56,63,289,234,4,3
2026-07-22 16:00:00,55,55,279,180,4,3
2026-07-22 17:00:00,49,47,235,183,4,3
2026-07-22 18:00:00,44,45,206,148,3,2
2026-07-22 19:00:00,61,42,205,112,3,3
2026-07-22 20:00:00,36,48,144,102,3,2
2026-07-22 21:00:00,30,36,208,117,2,2
2026-07-22 22:00:00,56,41,185,139,2,3
2026-07-22 23:00:00,46,44,270,171,2,3
2026-07-23 00:00:00,52,63,354,210,3,3
2026-07-23 01:00:00,43,65,335,216,3,3
2026-07-23 02:00:00,54,67,373,250,4,4
2026-07-23 03:00:00,60,59,299,224,4,3
2026-07-23 04:00:00,52,64,306,219,3,3
2026-07-23 05:00:00,38,51,240,175,3,3
2026-07-23 06:00:00,56,52,294,167,3,3
2026-07-23 07:00:00,41,30,183,115,2,2
2026-07-23 08:00:00,45,33,163,96,2,2
2026-07-23 09:00:00,36,42,227,128,2,2
2026-07-23 10:00:00,44,43,228,144,2,2
2026-07-23 11:00:00,49,49,264,193,2,3
2026-07-23 12:00:00,41,52,226,193,3,3
2026-07-23 13:00:00,75,65,406,253,3,4
2026-07-23 14:00:00,77,68,391,254,4,4
2026-07-23 15:00:00,71,60,351,250,4,4
2026-07-23 16:00:00,72,59,311,228,3,3
2026-07-23 17:00:00,54,55,300,179,3,3
2026-07-23 18:00:00,47,42,238,149,3,2
2026-07-23 19:00:00,40,41,189,137,2,2
2026-07-23 20:00:00,27,36,178,88,2,2
2026-07-23 21:00:00,46,43,180,96,2,2
2026-07-23 22:00:00,36,48,245,151,2,2
2026-07-23 23:00:00,39,43,255,157,2,2
2026-07-24 00:00:00,57,57,292,189,3,3
2026-07-24 01:00:00,65,57,360,229,3,3
2026-07-24 02:00:00,63,66,302,243,3,4
2026-07-24 03:00:00,61,67,331,241,4,4
